tissue;class;class_marker;type_marker;full_name;common_name;subcluster;tissue_subcluster
FC;NEURON;Gad1Gad2;Cplx3-Npy;Neuron.Gad1Gad2.Cplx3;Neuron.Gad1Gad2.Cplx3;1-1;FC_1-1
FC;NEURON;Gad1Gad2-Slc17a8;Synpr-Sncg-Yjefn3;Neuron.Gad1Gad2-Slc17a8.Synpr-Sncg-Yjefn3;Neuron.Gad1Gad2-Slc17a8.Synpr-Sncg-Yjefn3;1-10;FC_1-10
FC;NEURON;Gad1Gad2;Synpr-Sncg;Neuron.Gad1Gad2.Synpr-Sncg;Neuron.Gad1Gad2.Synpr-Sncg;1-11;FC_1-11
FC;NEURON;Gad1Gad2;Cplx3-Reln;Neuron.Gad1Gad2.Cplx3-Reln;Neuron.Gad1Gad2.Cplx3-Reln;1-2;FC_1-2
FC;NEURON;Gad1Gad2;Synpr-Nnat;Neuron.Gad1Gad2.Synpr-Nnat;Neuron.Gad1Gad2.Synpr-Nnat;1-3;FC_1-3
FC;NEURON;Gad1Gad2;Synpr-Crispld2;Neuron.Gad1Gad2.Synpr-Crispld2;Neuron.Gad1Gad2.Synpr-Crispld2;1-4;FC_1-4
FC;NEURON;Gad1Gad2-Chat;Synpr-Slc5a7;Neuron.Gad1Gad2-Chat.Synpr-Slc5a7;Cholinergic cortical  interneurons;1-5;FC_1-5
FC;NEURON;Gad1Gad2;Synpr-Pcdh11x;Neuron.Gad1Gad2.Synpr-Pcdh11x;Neuron.Gad1Gad2.Synpr-Pcdh11x;1-6;FC_1-6
FC;NEURON;Gad1Gad2;Synpr-Dpy19l1;Neuron.Gad1Gad2.Synpr-Dpy19l1;Neuron.Gad1Gad2.Synpr-Dpy19l1;1-7;FC_1-7
FC;NEURON;Gad1Gad2;Cplx3-Dpy19l1;Neuron.Gad1Gad2.Cplx3-Dpy19l1;Neuron.Gad1Gad2.Cplx3-Dpy19l1;1-8;FC_1-8
FC;NEURON;Gad1Gad2;Cplx3-Crim1;Neuron.Gad1Gad2.Cplx3-Crim1;Neuron.Gad1Gad2.Cplx3-Crim1;1-9;FC_1-9
FC;POLYDENDROCYTE;Tnr;Cspg5;Polydendrocyte.Tnr.Cspg5;Polydendrocyte.Tnr.Cspg5;10-1;FC_10-1
FC;POLYDENDROCYTE;Tnr;Dlx1;Polydendrocyte.Tnr.Dlx1;Polydendrocyte.Tnr.Dlx1;10-2;FC_10-2
FC;POLYDENDROCYTE;Tnr;Pdgfa;Polydendrocyte.Tnr.Pdgfa;Polydendrocyte.Tnr.Pdgfa;10-3;FC_10-3
FC;POLYDENDROCYTE;Tnr;Opalin;Polydendrocyte.Tnr.Opalin;Polydendrocyte.Tnr.Opalin;10-4;FC_10-4
FC;POLYDENDROCYTE;Tnr;Bmp4- Ptgds;Polydendrocyte.Tnr.Bmp4- Ptgds;Polydendrocyte.Tnr.Bmp4- Ptgds;10-5;FC_10-5
FC;POLYDENDROCYTE;Tnr;Bmp4-Gpr17;Polydendrocyte.Tnr.Bmp4-Gpr17;Polydendrocyte.Tnr.Bmp4-Gpr17;10-6;FC_10-6
FC;MICROGLIA;C1qb;Tmem119;Microglia.C1qb.Tmem119;Microglia.C1qb.Tmem119;11-1;FC_11-1
FC;NEURON;Slc17a6;Reln;Neuron.Slc17a6.Reln;Cajal-Retzius;11-2;FC_11-2
FC;MACROPHAGE;C1qb;Mrc1;Macrophage.C1qb.Mrc1;Resident macrophage;11-3;FC_11-3
FC;MICROGLIA;C1qb;Tmem119-Fos;Microglia.C1qb.Tmem119-Fos;Microglia.C1qb.Tmem119-Fos;11-4;FC_11-4
FC;ENDOTHELIAL_STALK;Flt1;Gkn3;Endothelial_Stalk.Flt1.Gkn3;Endothelial_Stalk.Flt1.Gkn3;12-1;FC_12-1
FC;ENDOTHELIAL_STALK;Flt1;Mgp;Endothelial_Stalk.Flt1.Mgp;Endothelial_Stalk.Flt1.Mgp;12-2;FC_12-2
FC;ENDOTHELIAL_STALK;Flt1;Car4;Endothelial_Stalk.Flt1.Car4;Endothelial_Stalk.Flt1.Car4;12-3;FC_12-3
FC;ENDOTHELIAL_STALK;Flt1;Cfh;Endothelial_Stalk.Flt1.Cfh;Endothelial_Stalk.Flt1.Cfh;12-4;FC_12-4
FC;ENDOTHELIAL_STALK;Flt1;Lrg1;Endothelial_Stalk.Flt1.Lrg1;Endothelial_Stalk.Flt1.Lrg1;12-5;FC_12-5
FC;MURAL;Rgs5Acta2;Cnn1;Mural.Rgs5Acta2.Cnn1;Mural.Rgs5Acta2.Cnn1;13-1;FC_13-1
FC;MURAL;Rgs5Acta2;Ccnd1;Mural.Rgs5Acta2.Ccnd1;Mural.Rgs5Acta2.Ccnd1;13-2;FC_13-2
FC;MURAL;Rgs5Acta2;Abcc9;Mural.Rgs5Acta2.Abcc9;Mural.Rgs5Acta2.Abcc9;13-3;FC_13-3
FC;MURAL;Rgs5Acta2;Col3a1;Mural.Rgs5Acta2.Col3a1;Mural.Rgs5Acta2.Col3a1;13-4;FC_13-4
FC;ENDOTHELIAL_TIP;Dcn;1500015O10Rik;Endothelial_Tip.Dcn.1500015O10Rik;Endothelial_Tip.Dcn.1500015O10Rik;14-1;FC_14-1
FC;ENDOTHELIAL_TIP;Dcn;Dapl1;Endothelial_Tip.Dcn.Dapl1;Endothelial_Tip.Dcn.Dapl1;14-2;FC_14-2
FC;ENDOTHELIAL_TIP;Dcn;Coch;Endothelial_Tip.Dcn.Coch;Endothelial_Tip.Dcn.Coch;14-3;FC_14-3
FC;ENDOTHELIAL_TIP;Dcn;Col15a1;Endothelial_Tip.Dcn.Col15a1;Endothelial_Tip.Dcn.Col15a1;14-4;FC_14-4
FC;ENDOTHELIAL_TIP;Dcn;Inmt;Endothelial_Tip.Dcn.Inmt;Endothelial_Tip.Dcn.Inmt;14-5;FC_14-5
FC;NEURON;Gad1Gad2;Sst-Chodl;Neuron.Gad1Gad2.Sst-Chodl;MGE-derived cortical interneurons--Long-range-projecting interneurons;2-1;FC_2-1
FC;NEURON;Gad1Gad2-Th;Nr4a2;Neuron.Gad1Gad2-Th.Nr4a2;MGE-derived cortical interneurons;2-10;FC_2-10
FC;NEURON;Gad1Gad2;Sst-Pdyn;Neuron.Gad1Gad2.Sst-Pdyn;MGE-derived cortical interneurons--Martinotti cells;2-2;FC_2-2
FC;NEURON;Gad1Gad2;Sst-Calb2;Neuron.Gad1Gad2.Sst-Calb2;MGE-derived cortical interneurons--Martinotti cells;2-3;FC_2-3
FC;NEURON;Gad1Gad2;Sst-Crh;Neuron.Gad1Gad2.Sst-Crh;MGE-derived cortical interneurons--Martinotti cells;2-4;FC_2-4
FC;NEURON;Gad1Gad2;Sst-Nr2f2;Neuron.Gad1Gad2.Sst-Nr2f2;MGE-derived cortical interneurons--Martinotti cells;2-5;FC_2-5
FC;NEURON;Gad1Gad2;Pvalb-Unc5b;Neuron.Gad1Gad2.Pvalb-Unc5b;MGE-derived cortical interneurons--Chandelier cells;2-6;FC_2-6
FC;NEURON;Gad1Gad2;Pvalb;Neuron.Gad1Gad2.Pvalb;MGE-derived cortical interneurons--basket cells;2-7;FC_2-7
FC;NEURON;Gad1Gad2;Pvalb-Nefm;Neuron.Gad1Gad2.Pvalb-Nefm;MGE-derived cortical interneurons--basket cells;2-8;FC_2-8
FC;NEURON;Gad1Gad2;Pvalb-Necab1;Neuron.Gad1Gad2.Pvalb-Necab1;MGE-derived cortical interneurons--basket cells;2-9;FC_2-9
FC;NEURON;Slc17a7;Syt6-Sema5a;Neuron.Slc17a7.Syt6-Sema5a;Deep layer pyramidal cells;3-1;FC_3-1
FC;NEURON;Slc17a7-Slc17a8;Syt6-Cplx3;Neuron.Slc17a7-Slc17a8.Syt6-Cplx3;Deep layer pyramidal cells--Cortical Subplate;3-10;FC_3-10
FC;NEURON;Slc17a7;Syt6-Bdnf;Neuron.Slc17a7.Syt6-Bdnf;Deep layer pyramidal cells;3-11;FC_3-11
FC;NEURON;Slc17a7;Syt6-Kit;Neuron.Slc17a7.Syt6-Kit;Deep layer pyramidal cells;3-12;FC_3-12
FC;NEURON;Slc17a7;Syt6-Fos;Neuron.Slc17a7.Syt6-Fos;Deep layer pyramidal cells (IEG);3-13;FC_3-13
FC;NEURON;Slc17a7;Syt6-Etv1;Neuron.Slc17a7.Syt6-Etv1;Deep layer pyramidal cells-Etv1 typically marks layer 5b, but some expression in layer 6, especially in medial regions like cingulate;3-2;FC_3-2
FC;NEURON;Slc17a7;Syt6-Efna5;Neuron.Slc17a7.Syt6-Efna5;Deep layer pyramidal cells;3-3;FC_3-3
FC;NEURON;Slc17a7;Syt6-Cyp26b1;Neuron.Slc17a7.Syt6-Cyp26b1;Deep layer pyramidal cells;3-4;FC_3-4
FC;NEURON;Slc17a7;Syt6-Slc30a3;Neuron.Slc17a7.Syt6-Slc30a3;Deep layer pyramidal cells;3-5;FC_3-5
FC;NEURON;Slc17a7;Syt6-Slc24a2;Neuron.Slc17a7.Syt6-Slc24a2;Deep layer pyramidal cells;3-6;FC_3-6
FC;NEURON;Slc17a7;Syt6-Lypd1;Neuron.Slc17a7.Syt6-Lypd1;Deep layer pyramidal cells--medial-lateral spatial gradient;3-7;FC_3-7
FC;NEURON;Slc17a7-Slc17a6;Syt6-Nnat;NeuronSlc17a7-Slc17a6.Syt6-Nnat;Deep layer pyramidal cells--medial cortex;3-8;FC_3-8
FC;NEURON;Slc17a7;Syt6-Sema3c;Neuron.Slc17a7.Syt6-Sema3c;Deep layer pyramidal cells;3-9;FC_3-9
FC;NEURON;Slc17a6-Slc17a7-Slc17a8;Fezf2.Slc17a8;Neuron.Slc17a6-Slc17a7-Slc17a8.Fezf2.Slc17a8;Deep layer pyramidal cells-Layer 5b;4-1;FC_4-1
FC;NEURON;Slc17a6-Slc17a7;Fezf2.3110035E14Rik;Neuron.Slc17a6-Slc17a7.Fezf2.3110035E14Rik;Deep layer pyramidal cells-Layer 5b;4-2;FC_4-2
FC;NEURON;Slc17a6-Slc17a7;Nr4a2;Neuron.Slc17a6-Slc17a7.Nr4a2;Claustrum;5-1;FC_5-1
FC;NEURON;Slc17a7;Nptxr-Calb1;Neuron.Slc17a7.Nptxr-Calb1;Superficial layer pyramidal cells--Layer 2/3;6-1;FC_6-1
FC;NEURON;Slc17a7;Nptxr-Ndst4;Neuron.Slc17a7.Nptxr-Ndst4;Superficial layer pyramidal cells--dorsal endopiriform nucleus or piriform cortex;6-2;FC_6-2
FC;NEURON;Slc17a7-Slc17a6;Nptxr-Rorb;Neuron.Slc17a7-Slc17a6.Nptxr-Rorb;Deep layer pyramidal cells--Layer 5a;6-3;FC_6-3
FC;NEURON;Slc17a7;Nptxr-Deptor;Neuron.Slc17a7.Nptxr-Deptor;Deep layer pyramidal cells--Layer 5a;6-4;FC_6-4
FC;NEURON;Slc17a7;Nptxr-Fos;Neuron.Slc17a7.Nptxr-Fos;Deep layer pyramidal cells (IEG);6-5;FC_6-5
FC;NEURON;Slc17a7;Nptxr-Drd1;Neuron.Slc17a7.Nptxr-Drd1;Deep layer pyramidal cells;6-6;FC_6-6
FC;NEURON;Slc17a7;Parm1.Ndnf;Neuron.Slc17a7.Parm1.Ndnf;Deep layer pyramidal cells--layer 5;7-1;FC_7-1
FC;NEURON;Slc17a7;Parm1.Nnat;Neuron.Slc17a7.Parm1.Nnat;Deep layer pyramidal cells--layer 5;7-2;FC_7-2
FC;NEURON;Slc17a7;Parm1.Lsamp;Neuron.Slc17a7.Parm1.Lsamp;Deep layer pyramidal cells--layer 5;7-3;FC_7-3
FC;NEURON;Slc17a7;Parm1.Fos;Neuron.Slc17a7.Parm1.Fos;Deep layer pyramidal cells--layer 5 (IEG);7-4;FC_7-4
FC;NEURON;Slc17a7;Parm1.Cadm2;Neuron.Slc17a7.Parm1.Cadm2;Deep layer pyramidal cells--layer 5;7-5;FC_7-5
FC;NEURON;Slc17a7;Parm1.Nefm;Neuron.Slc17a7.Parm1.Nefm;Deep layer pyramidal cells--layer 5;7-6;FC_7-6
FC;NEURON;Slc17a7;Parm1.Tshz2;Neuron.Slc17a7.Parm1.Tshz2;Deep layer pyramidal cells--layer 5;7-7;FC_7-7
FC;ASTROCYTE;Gja1;;Astrocyte.Gja1;Gfap- astrocytes;8-1;FC_8-1
FC;ASTROCYTE;Gja1;Myoc;Astrocyte.Gja1.Myoc;Gfap+ astrocytes;8-2;FC_8-2
FC;OLIGODENDROCYTE;Tnf;Igsf8;Oligodendrocyte.Tnf.Igsf8;Oligodendrocyte.Tnf.Igsf8;9-1;FC_9-1
FC;OLIGODENDROCYTE;Tnf;Igsf8-Ctps;Oligodendrocyte.Tnf.Igsf8-Ctps;Oligodendrocyte.Tnf.Igsf8-Ctps;9-2;FC_9-2
FC;OLIGODENDROCYTE;Tnf;Kif5b;Oligodendrocyte.Tnf.Kif5b;Oligodendrocyte.Tnf.Kif5b;9-3;FC_9-3
FC;OLIGODENDROCYTE;Tnf;Ptgds;Oligodendrocyte.Tnf.Ptgds;Oligodendrocyte.Tnf.Ptgds;9-4;FC_9-4
FC;OLIGODENDROCYTE;Tnf;Klk6;Oligodendrocyte.Tnf.Klk6;Oligodendrocyte.Tnf.Klk6;9-5;FC_9-5